Genre,URL,Titre,Wikipedia_URL
Fiction,https://www.gutenberg.org/ebooks/84,"Frankenstein; Or, The Modern Prometheus",https://en.wikipedia.org/wiki/Frankenstein
Fiction,https://www.gutenberg.org/ebooks/2701,"Moby Dick; Or, The Whale",https://en.wikipedia.org/wiki/Moby-Dick
Fiction,https://www.gutenberg.org/ebooks/1342,Pride and Prejudice,https://en.wikipedia.org/wiki/Pride_and_Prejudice
Fiction,https://www.gutenberg.org/ebooks/1513,Romeo and Juliet,https://en.wikipedia.org/wiki/Romeo_and_Juliet
Fiction,https://www.gutenberg.org/ebooks/11,Alice's Adventures in Wonderland,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland
Fiction,https://www.gutenberg.org/ebooks/2542,A Doll's House : a play,https://en.wikipedia.org/wiki/A_Doll%27s_House
Fiction,https://www.gutenberg.org/ebooks/64317,The Great Gatsby,https://en.wikipedia.org/wiki/The_Great_Gatsby
Fiction,https://www.gutenberg.org/ebooks/844,The Importance of Being Earnest: A Trivial Comedy for Serious People,https://en.wikipedia.org/wiki/The_Importance_of_Being_Earnest
Fiction,https://www.gutenberg.org/ebooks/100,The Complete Works of William Shakespeare,https://en.wikipedia.org/wiki/Complete_Works_of_Shakespeare
Fiction,https://www.gutenberg.org/ebooks/145,Middlemarch,https://en.wikipedia.org/wiki/Middlemarch
Fiction,https://www.gutenberg.org/ebooks/43,The Strange Case of Dr. Jekyll and Mr. Hyde,https://en.wikipedia.org/wiki/Strange_Case_of_Dr_Jekyll_and_Mr_Hyde
Fiction,https://www.gutenberg.org/ebooks/2641,A Room with a View,https://en.wikipedia.org/wiki/A_Room_with_a_View
Fiction,https://www.gutenberg.org/ebooks/37106,"Little Women; Or, Meg, Jo, Beth, and Amy",https://en.wikipedia.org/wiki/Little_Women
Fiction,https://www.gutenberg.org/ebooks/174,The Picture of Dorian Gray,https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray
Fiction,https://www.gutenberg.org/ebooks/67979,The Blue Castle: a novel,https://en.wikipedia.org/wiki/The_Blue_Castle
